player_name,position,position_group,team,season,games,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,def_sacks,def_interceptions,def_tackles_solo,def_tackles_with_assist,def_pass_defended,def_tds,source
Gino Marchetti,DE,DL,BAL,1958,12,0,0,0,0,0,0,0,0,0,11,0,38,18,0,0,legends
Deacon Jones,DE,DL,LA,1967,14,0,0,0,0,0,0,0,0,0,24,0,45,15,0,0,legends
Bob Lilly,DT,DL,DAL,1971,14,0,0,0,0,0,0,0,0,0,10,0,40,20,0,0,legends
Joe Greene,DT,DL,PIT,1972,14,0,0,0,0,0,0,0,0,0,11,1,42,20,0,0,legends
Alan Page,DT,DL,MIN,1971,14,0,0,0,0,0,0,0,0,0,10,0,45,22,0,0,legends
Reggie White,DE,DL,PHI,1987,12,0,0,0,0,0,0,0,0,0,21,0,48,18,0,0,legends
Bruce Smith,DE,DL,BUF,1990,16,0,0,0,0,0,0,0,0,0,19,0,55,46,0,0,legends
Jack Youngblood,DE,DL,LA,1976,14,0,0,0,0,0,0,0,0,0,16,0,40,18,0,0,legends
Dick Butkus,MLB,LB,CHI,1969,14,0,0,0,0,0,0,0,0,0,4,3,110,60,4,0,legends
Ray Nitschke,MLB,LB,GB,1964,14,0,0,0,0,0,0,0,0,0,3,3,95,55,3,0,legends
Jack Lambert,MLB,LB,PIT,1976,14,0,0,0,0,0,0,0,0,0,5,2,100,55,4,0,legends
Lawrence Taylor,OLB,LB,NYG,1986,16,0,0,0,0,0,0,0,0,0,20.5,0,85,20,2,0,legends
Mike Singletary,MLB,LB,CHI,1985,16,0,0,0,0,0,0,0,0,0,3,1,110,60,3,0,legends
Derrick Thomas,OLB,LB,KC,1990,16,0,0,0,0,0,0,0,0,0,20,0,75,18,2,0,legends
Night Train Lane,CB,DB,LA,1952,12,0,0,0,0,0,0,0,0,0,0,14,40,10,18,2,legends
Mel Blount,CB,DB,PIT,1975,14,0,0,0,0,0,0,0,0,0,0,11,45,12,16,0,legends
Ronnie Lott,FS,DB,SF,1986,14,0,0,0,0,0,0,0,0,0,1,10,60,25,14,1,legends
Deion Sanders,CB,DB,SF,1994,16,0,0,0,0,0,0,0,0,0,0,6,40,8,12,3,legends
Rod Woodson,CB,DB,PIT,1993,16,0,0,0,0,0,0,0,0,0,2,8,75,20,18,1,legends
Ken Houston,S,DB,HOU,1971,14,0,0,0,0,0,0,0,0,0,0,9,55,20,12,4,legends
